room_name,room_lat,room_long,room_address,room_des,room_max,room_type,room_option,room_host_name,room_price,room_created_at,room_updated_at
장송장,36.20389,127.08472,경기도 금산군 양재천297거리 (동현박김리),"Error aliquid consectetur distinctio fugit. Soluta nisi ipsum cumque. Ea consectetur possimus porro.
Error minus velit aliquam. Error error mollitia beatae asperiores. Iure quidem consequatur.",9,4,1,1,281000,2022-08-24 18:20:25,2023-09-17 04:48:09
(유) 박,37.65639,126.835,대구광역시 서대문구 가락가 (성수이박리),"Veniam excepturi nihil. Ab in tempore. Quas itaque architecto non.
Fugit iste voluptates vero officia ipsum explicabo.",3,2,2,2,13000,2022-01-25 17:51:45,2023-10-04 10:19:53
(주) 이황송,36.82167,128.63083,울산광역시 마포구 압구정길,Maiores quisquam beatae aperiam non perferendis aspernatur. Occaecati exercitationem quam debitis reprehenderit. Perferendis accusamus eveniet.,8,3,2,3,307000,2020-03-25 13:33:36,2023-02-06 18:14:44
(주) 김,34.8825,128.62667,대전광역시 강서구 반포대길 (정희배하리),"Totam nobis voluptatem voluptate unde rerum. Adipisci unde nostrum vel ullam.
Deleniti vero non incidunt.",5,1,4,4,410000,2022-10-07 01:08:44,2023-09-09 03:41:23
주식회사 홍장이,37.65639,126.835,서울특별시 강북구 서초중앙길,Eligendi delectus harum cumque quae. Expedita tenetur facilis facere ad corrupti ab. Odio amet maxime vitae similique beatae.,7,1,1,5,79000,2021-11-22 19:43:47,2023-01-20 05:18:15
황이,36.20389,127.08472,서울특별시 강북구 석촌호수가 (지우우이읍),"Molestias praesentium mollitia nihil deleniti accusantium qui. Magnam laborum necessitatibus odio in iste natus.
Aliquid qui at praesentium tempore quam quis. Iste quam temporibus iusto ab.",9,4,3,6,86000,2022-11-26 15:19:20,2023-09-03 15:13:28
박최,36.82167,128.63083,대구광역시 도봉구 영동대가,"Voluptatum qui quis ad necessitatibus. Tempore quasi commodi accusamus.
Fugit velit commodi nisi vitae. Corrupti cupiditate quo alias fugiat saepe. Accusantium fuga maiores rerum ratione.",2,2,2,7,324000,2020-09-04 10:02:05,2023-04-12 11:14:32
최김박,36.82167,128.63083,세종특별자치시 마포구 가락길 (성수김면),"Ea autem ipsa quam perspiciatis. Facilis nesciunt aliquam ea minus nesciunt nemo.
Quas quo doloribus vero. Molestiae delectus ea error.",3,4,3,8,220000,2021-11-02 09:59:33,2023-04-09 22:50:19
(주) 백황김,36.20389,127.08472,울산광역시 강남구 도산대34길 (준영박동),"Laudantium corrupti deserunt error. Voluptatem accusantium accusantium nostrum tempora suscipit.
Magnam inventore quaerat est. Ullam nemo consequuntur reiciendis enim illo occaecati.",3,2,3,9,130000,2020-07-05 03:38:12,2023-03-07 13:07:43
(유) 김,34.8825,128.62667,전라남도 진천군 잠실08로,"Aliquam accusamus magnam occaecati. Illo vel aut sit odio nisi. Fugit quasi officia aspernatur.
Magni quibusdam vel iure aspernatur.",3,3,4,10,418000,2021-04-29 22:56:58,2023-01-13 14:38:38
안손이,36.6009,126.665,전라남도 청주시 청원구 논현293길,"Explicabo placeat cupiditate velit pariatur natus fugit. Eos autem accusantium eum quis.
Dignissimos veritatis mollitia minima. Cupiditate dolorem doloremque eveniet autem voluptas.",6,1,1,11,14000,2021-05-16 04:43:33,2023-04-02 04:01:12
김이박,36.82167,128.63083,충청북도 영동군 반포대로 (예지이리),Excepturi doloremque debitis. Placeat numquam tempore nemo saepe. Enim natus possimus maiores accusantium odit alias. Deserunt eos odio quis autem eaque.,2,1,2,12,72000,2023-02-23 22:15:56,2023-03-26 22:56:45
(유) 양박고,36.82167,128.63083,대구광역시 중구 서초중앙423가 (현숙이면),Numquam rerum totam dolorem error odit dolore. Vel nam itaque facilis error distinctio occaecati. Explicabo soluta omnis pariatur natus.,10,1,4,13,129000,2021-10-18 03:00:50,2023-06-03 12:13:00
(유) 황,36.20389,127.08472,경상남도 서천군 테헤란82길,"Recusandae nulla ab praesentium incidunt iure. Odio sunt corrupti alias fuga totam.
Beatae natus magnam soluta. Ipsum vitae ipsam labore natus.
Illo fugit accusantium.",3,1,3,14,181000,2020-10-16 19:59:59,2023-06-30 11:26:06
(주) 지남김,36.82167,128.63083,경상북도 화천군 압구정길 (진우이마을),"Ut sed aliquid. Occaecati et suscipit quae. Recusandae nesciunt numquam ducimus error.
Nesciunt porro mollitia tenetur. Totam nesciunt vel.",6,3,1,15,49000,2021-08-12 23:16:44,2023-01-23 10:50:43
주식회사 이권주,36.82167,128.63083,인천광역시 성동구 개포075거리 (정남이마을),Voluptatem earum aperiam a odit eaque asperiores ab. Enim occaecati autem dicta dolores distinctio.,10,2,3,16,90000,2023-02-19 20:55:45,2023-05-14 16:00:10
김김,36.82167,128.63083,부산광역시 노원구 가락238가 (수민조박동),Similique perferendis adipisci illo unde non optio asperiores. Facere voluptas maiores magni autem maiores. Esse ex necessitatibus voluptatum eos eos impedit. Vero officiis repellat temporibus.,1,3,3,17,175000,2020-04-20 04:14:05,2023-03-12 04:05:38
손최,36.82167,128.63083,제주특별자치도 홍성군 학동6길 (현준서리),"Accusantium consequatur ad cum voluptate ab.
Quidem ab a quia minus adipisci error. Totam doloribus possimus ad laboriosam impedit unde. Odio alias accusamus debitis nobis fuga maiores delectus.",4,1,4,18,239000,2021-06-15 03:54:26,2023-10-26 18:24:50
이김이,34.8825,128.62667,서울특별시 노원구 석촌호수10거리 (예지류면),Fuga eius praesentium quibusdam accusantium error. Doloribus provident neque esse quos quas. Autem dignissimos sint at saepe nihil.,3,2,3,19,669000,2021-09-16 08:23:53,2023-06-26 02:26:23
안이신,37.65639,126.835,전라북도 수원시 팔달구 양재천174가,A saepe aliquam soluta. Repellat neque eligendi dolorem labore. Maxime maiores perferendis voluptatum.,9,3,2,20,184000,2020-12-31 12:52:55,2023-03-30 22:00:48
